SMILES,Idx,FID
[16*]c1cc2c3c(c1)Oc1ccc([16*])cc1B3c1cc([16*])ccc1O2,19,69
[16*]c1ccc([16*])c([16*])c1,0,0
[16*]c1ccc([16*])c([16*])c1,5,0
[16*]c1ccc([16*])c([16*])c1,7,0
[16*]c1cc2c3ccccc3n3c4ccccc4c(c1)c23,0,185
[16*]c1cnc(C#N)nc1,0,525
[16*]c1cc([16*])cc([16*])c1,0,0
[16*]c1cc([16*])cc([16*])c1,4,0
[16*]c1cc([16*])cc([16*])c1,7,0
[9*]n1cccn1,0,193
[9*]n1nccn1,0,221
[1*]C([6*])=O,0,39
[1*]C([6*])=O,2,7
[16*]c1c2c3c(ccc(F)c3c3cc4ccccc4cc13)N(C)C2=O,0,564
[11*]S[11*],0,45
[11*]S[11*],2,45
[14*]c1sc2c(sc3c([16*])c([14*])sc32)c1[16*],0,57
[14*]c1sc2c(sc3c([16*])c([14*])sc32)c1[16*],8,96
[14*]c1sc2c(sc3c([16*])c([14*])sc32)c1[16*],10,57
[14*]c1sc2c(sc3c([16*])c([14*])sc32)c1[16*],14,96
[14*]c1cc2sccc2s1,0,264
[9*]n1c2ccc(C)cc2c2cc(C)ccc21,0,151
[16*]c1ccc(C#N)cc1,0,15
[14*]c1ccc([14*])s1,0,13
[14*]c1ccc([14*])s1,5,13
[16*]c1ccc2ccc3cccc4ccc1c2c34,0,20
[14*]c1nc2cc([16*])c(F)cc2nc1[14*],0,267
[14*]c1nc2cc([16*])c(F)cc2nc1[14*],6,409
[14*]c1nc2cc([16*])c(F)cc2nc1[14*],13,253
[16*]c1ccc2c(c1)oc1cc(P(=O)(c3ccccc3)c3ccccc3)ccc12,0,321
[16*]c1ccc(C2(c3ccc([16*])cc3)c3ccccc3-c3ccccc32)cc1,0,78
[16*]c1ccc(C2(c3ccc([16*])cc3)c3ccccc3-c3ccccc32)cc1,10,78
[14*]c1nc([14*])c(C#N)c([16*])c1C#N,0,37
[14*]c1nc([14*])c(C#N)c([16*])c1C#N,4,37
[14*]c1nc([14*])c(C#N)c([16*])c1C#N,9,60
[16*]c1cccnc1,0,33
[16*]c1cc(C)c([16*])c(C)c1,0,195
[16*]c1cc(C)c([16*])c(C)c1,6,189
[10*]N1C(=O)c2cccc3cccc(c23)C1=O,0,58
[16*]c1ccc([16*])c(C)c1,0,36
[16*]c1ccc([16*])c(C)c1,5,29
[16*]c1cccc([16*])c1[16*],0,0
[16*]c1cccc([16*])c1[16*],6,0
[16*]c1cccc([16*])c1[16*],8,0
[16*]c1cc2c3c([16*])c4cc(Cl)c(Cl)cc4c([16*])c3c3cc([16*])cc4c5c([16*])c6cc(Cl)c(Cl)cc6c([16*])c5c(c1)c2c34,0,436
