FID,SMILES,frequency
177,[14*]c1ncnc(P(=O)(c2ccccc2)c2ccccc2)n1,4
178,[16*]c1ccc(C#N)cc1C#N,4
179,[5*]N1c2ccccc2Nc2ccccc21,4
180,[9*]n1cnc2c1C1CC=Cc3ccc4cccc-2c4c31,4
181,[14*]c1nc2c3cccc4ccc5cccc(c2[nH]1)c5c43,4
182,[16*]c1ccc(/N=N/c2ccccc2C)cc1,4
183,[9*]n1nc2ccccc2n1,4
184,[16*]c1ccc2c(c1)c1cc(C#N)cc3c4ccccc4n2c31,4
185,[16*]c1cc2c3ccccc3n3c4ccccc4c(c1)c23,4
186,[5*]N1c2ccccc2C=Cc2ccccc21,4
187,[5*]N1c2ccc(C)cc2C2(c3ccccc3Oc3ccccc32)c2cc(C)ccc21,4
188,[5*]NC=C(c1ccccc1)c1ccccc1,4
189,[16*]c1c(C)cccc1C,4
190,[9*]n1c2ccccc2c2cc(Cc3ccccc3)ccc21,4
191,[14*]c1ncc2ccccc2n1,4
192,[9*]n1c2c(C)cc(C)cc2c2cc(C)cc(C)c21,4
193,[9*]n1cccn1,4
194,[16*]c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1ccccc1-2,4
195,[16*]c1cc(C)cc(C)c1,4
196,[16*]c1ccc(C2=C(c3ccccc3)C(=O)NC2=O)cc1,4
197,[6*]C(=O)C(C)(C)C=O,4
198,[16*]c1ccc2c(c1)C(C)(C)c1ccccc1S2(=O)=O,4
199,[16*]c1ccc(/N=N/c2ccccc2)c(C)c1,4
200,[16*]c1ccc(C=C)cc1,4
201,[9*]n1nc(C)c2c(=O)oc3ccccc3c21,4
202,[1*]C(=O)C=C,4
203,[16*]c1ccc2c(c1)S(=O)(=O)c1ccccc1S2(=O)=O,4
204,[16*]c1ccc2c(c1)C(CCCCCCCC)(CCCCCCCC)c1ccccc1-2,4
205,[16*]c1ccc2cc3c(cc2c1)c1cccc2c4cc5ccccc5cc4c4cccc3c4c21,4
206,[3*]OP(=O)(O)CCC=O,4
207,[9*]n1cnc2c3cccc4ccc5cccc(c5c43)c21,4
208,[16*]c1c2cc(Br)c(Br)cc2cc2c3cccc4c5cc6cc(Br)c(Br)cc6cc5c5cccc(c12)c5c43,4
209,[7*]=C(c1ccccc1)c1ccc2[nH]c3ccccc3c2c1,4
210,[16*]c1ccccc1B1c2ccccc2Oc2ccccc21,4
211,[16*]c1cc(C)c(B2c3ccccc3B(c3c(C)cccc3C)c3ccccc32)c(C)c1,4
212,[16*]c1c2cc(Cl)c(Cl)cc2cc2c3cccc4c5cc6cc(Cl)c(Cl)cc6cc5c5cccc(c12)c5c43,4
213,[16*]c1ccc2c(c1)Oc1cccc3c1B2c1ccccc1O3,4
214,[9*]n1c2ccccc2c2c3sc4ccccc4c3ccc21,4
215,[16*]c1ccc2c(c1)c1cccc3c4ccccc4n2c31,4
216,[14*]c1cnc(C#N)c(C#N)n1,4
217,[16*]c1ccc(C(=CNC=C(c2ccccc2)c2ccccc2)c2ccccc2)cc1,4
218,[16*]c1c2ccccc2cc2c3cccc4c5cc6ccccc6cc5c5cccc(c12)c5c43,4
219,[4*]CCCCCCCCCCCC,4
220,[16*]c1ccc2oc(=O)c3c(C)n[nH]c3c2c1,4
221,[9*]n1nccn1,4
222,[9*]n1c2ccccc2c2cc3c(cc21)C1(c2ccccc2-c2ccccc21)c1ccccc1-3,4
223,[16*]c1ccc2c(c1)S(=O)(=O)c1ccccc1C2=O,4
224,[16*]c1ccc2c(c1)C(=O)NC2=O,4
225,[16*]c1ccc(C(=CN)c2ccccc2)cc1,4
226,[14*]c1ncnc2ccccc12,4
227,[14*]c1nc2c([nH]1)C1CC=Cc3ccc4cccc-2c4c31,4
228,[9*]n1c2ccccc2c2c3ccccc3ccc21,3
229,[7*]=Cc1ccc2nc(C)cnc2c1,3
230,[14*]c1ccn2nc3ccccc3c2n1,3
231,[14*]c1cnc2ccccn12,3
232,[14*]c1cn2ccccc2n1,3
233,[14*]c1cn2ncsc2n1,3
234,[5*]N1c2ccccc2C(C)(C)c2ccc3c(oc4ccccc43)c21,3
235,[10*]N1C(=O)c2ccccc2C1=O,3
236,[16*]c1ccc(C#N)nc1,3
237,[16*]c1ccc2c(=O)c3ccccc3sc2c1,3
238,[5*]N1c2ccc(C)cc2C2(c3ccccc3-c3ccccc32)c2cc(C)ccc21,3
239,[5*]N1c2ccccc2C(C)(C)c2ccc3c(sc4ccccc43)c21,3
240,[16*]c1ccc2c(c1)c1ccccc1c1nc3c4cccc5ccc6cccc(c6c54)c3n21,3
241,[14*]c1ccnc2c3ccccc3nn12,3
242,[16*]c1cccc(C2(c3ccccc3)c3ccccc3Sc3ccccc32)c1,3
243,[16*]c1ccc2c(c1)C(C)(C)c1cc(C#N)ccc1-2,3
244,[16*]c1cc2ccc3cccc4c5nc6cc(C#N)c(C#N)cc6nc5c(c1)c2c34,3
245,[16*]c1ccccc1C1(c2ccccc2)c2ccccc2-c2ccccc21,3
246,[7*]=C1OC(C)C(C)=C1C#N,3
247,[13*]C1(C)OCC(C#N)=C1C,3
248,[14*]c1nc2cc(C)ccc2nc1C,3
249,[8*]CCCCC,3
250,[5*]N1C2=CC=CCC2C(c2ccccc2)(c2ccccc2)c2ccccc21,3
251,[16*]c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1ccccc1S2(=O)=O,3
252,[16*]c1ccc2[nH]ccc2c1,3
253,[14*]c1cnc2ccc(F)cc2n1,3
254,[16*]c1cccc2c1C1(c3ccccc3Nc3ccccc31)c1ccccc1-2,3
255,[14*]c1nn2ccnc2s1,3
256,[9*]n1c(C)c(C)c2ccccc21,3
257,[9*]n1ccc2ccccc21,3
258,[16*]c1ccc2c3c(cccc13)-c1nc(C#N)c(C#N)nc1-2,3
259,[7*]=CC1=C(C#N)COC1C,3
260,[16*]c1ccc(S(=O)(=O)c2ccccc2)cc1C,3
261,[7*]=Cc1nccs1,3
262,[7*]=Cc1cnc2cc(C)ccc2n1,3
263,[7*]=C1C(=O)c2ccccc2C1=O,3
264,[14*]c1cc2sccc2s1,3
265,[16*]c1ccc2c(c1)c1ccccc1c1nc3c4cccnc4c4ncccc4c3nc21,3
266,[16*]c1ccc2c3c(cccc13)-c1nc3cc(C#N)c(C#N)cc3nc1-2,3
267,[14*]c1cnc2cc(F)ccc2n1,3
268,[16*]c1ccc2c(c1)C1(c3ccccc3S2)c2ccccc2-c2ccccc21,3
269,[16*]c1cccc2nc3ccccc3cc12,3
270,[16*]c1ccc(C2=C3C(=O)NC(c4ccccc4)=C3C(=O)N2)cc1,2
271,[7*]=C(C#N)C=O,2
272,[7*]=Cc1cc(C)sc1C,2
273,[14*]c1nccc2nsnc12,2
274,[14*]c1scc(F)c1F,2
275,[7*]=Cc1c[nH]c2ccccc12,2
276,[14*]c1ccc(S(=O)(=O)c2cccnc2)cn1,2
277,[14*]c1csc(C)n1,2
278,[7*]=Cc1cc(Br)sc1C,2
279,[16*]c1ccc2c(oc3cc(P(=O)(c4ccccc4)c4ccccc4)ccc32)c1P(=O)(c1ccccc1)c1ccccc1,2
280,[7*]=Cc1ccsc1C,2
281,[14*]c1ncsn1,2
282,[9*]n1c2ccccc2c2ccc3c4ccccc4oc3c21,2
283,[14*]c1ccc2ccccc2n1,2
284,[16*]c1ccc2c(=O)[nH]c(=O)c3ccccc3c2c1,2
285,[16*]c1ccc(C#N)c2ccccc12,2
286,[14*]c1cnco1,2
287,[7*]=C(OB(F)F)c1ccc2ccc3ccccc3c2c1,2
288,[16*]c1ccc2sc3ccccc3c(=O)c2c1,2
289,[7*]=C1C=C(C)OC(C(C)(C)C)=C1,2
290,[16*]c1ccc([N+](=O)[O-])cc1,2
291,[16*]c1ccc(C2(c3ccccc3)c3cc4c(cc3-c3cc5c(cc32)-c2ccc(F)cc2C5(c2ccccc2)c2ccccc2)C(C)(C)c2ccccc2-4)cc1,2
292,[16*]c1ccc2c(c1)C1(CC1)c1ccccc1-2,2
293,[14*]c1cnc(S(=O)(=O)c2cnccn2)cn1,2
294,[4*]CCCCCCCC,2
295,[9*]n1c2ccccc2c2c3[nH]c4ccccc4c3ccc21,2
296,[14*]c1cnncn1,2
297,[14*]c1ncc(S(=O)(=O)c2cncnc2)cn1,2
298,[14*]c1ncnc(C2(c3ccccc3)c3ccccc3-c3ccccc32)n1,2
299,[16*]c1ccc2c(c1)oc1ccccc12,2
300,[16*]c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1ccccc1C21c2ccccc2-c2ccccc21,2
301,[7*]=Cc1cc(C)c(C)s1,2
302,[16*]c1c(C)c(C)c(B(c2c(C)c(C)cc(C)c2C)c2c(C)c(C)c(C#N)c(C)c2C)c(C)c1C,2
303,[7*]=CCC(C)(C)C,2
304,[16*]c1c(F)cc(C#N)cc1C#N,2
305,[16*]c1ccc2[nH]cc(C)c2c1,2
306,[16*]c1ccc2c3nc4cc(C#N)c(C#N)cc4nc3c3cccc4ccc1c2c43,2
