,ID,SMILES,HOMO,LUMO,S1,T1,f_S1,f_T1
49,64,CC1(C)c2ccccc2-c2ccc(N3c4ccc(-c5ccncc5)cc4B(c4ccccc4)c4c3ccc(-n3ccc5cc(-c6ccc(C7(c8ccccc8)c8cc9c(cc8-c8cc%10c(cc87)-c7ccc(F)cc7C%10(c7ccccc7)c7ccccc7)C(C)(C)c7ccccc7-9)cc6)ccc53)c4-c3cc(F)c(C(F)(F)CC(F)(F)C(F)(F)F)c(C#N)c3)cc21,-5.1551997300000005,-2.037317518,2.8948,2.4394,0.0031,0.0
50,65,CCCN1c2ccc(C)cc2C2(c3ccc(-c4cc(C#N)ncn4)cc3Oc3ccc(-c4ccc5c(c4)C4(c6cc(-n7c8ccccc8c8cc(C9(c%10ccccc%10)c%10ccccc%10-c%10ccccc%109)ccc87)ccc6S5)c5ccccc5-c5ccccc54)cc32)c2cc(C)ccc21,-5.085266432,-2.38916092,2.3088,2.291,0.0008,0.0
51,66,CCc1ccc2c(c1)c1ccc(C#N)c(C(F)(F)F)c1n2-c1ccc(Cc2cc(N(c3ccccc3F)c3cccc4nc5ccccc5cc34)ccc2N2c3ccccc3C(C)(C)C3C=CC=CC32)cc1,-4.904038508,-2.037589632,2.3773,1.834,0.0282,0.0
52,67,Cc1ccc2c(c1)c1ccccc1n2-c1cc(-c2ccnc3ccccc23)c2c(c1)nc(-c1cccc3c1N(c1ccccc1)c1ccc(-c4cccc5ccccc45)cc1C3(C)C)n2-c1ccc(/N=C/c2ccccc2)cc1-c1ccccc1C,-5.0779193540000005,-1.720848936,3.0675,2.602,0.0029,0.0
53,70,CC1(C)c2ccccc2N(c2ccc(Cl)cc2)c2cc3c(cc21)c1ccccc1n3-c1c(C#N)c(-c2ccccc2)nc(-c2cc3ccccc3c3ccccc23)c1C#N,-4.89124915,-2.45446828,1.9989,1.9969,0.0002,0.0
54,71,CCCCCn1c(-c2ccc3c(c2)c2ccccc2n3-c2nc(-c3ccccc3)nc3ccccc23)nc2c3ccc(-n4c5ccc(-c6ccc7ccccc7c6)cc5c5cc6c(cc54)C(c4ccccc4)(c4ccccc4)c4ccccc4-6)cc3c3ccccc3c21,-4.926079742,-2.103169106,2.6088,2.5052,0.0306,0.0
55,72,O=C1c2ccc(N3c4ccccc4C=Cc4cc(-n5c6ccccc6c6sc7ccccc7c65)ccc43)cc2C(=O)N1c1ccc(C2(c3ccccc3)c3ccccc3-c3ccccc32)cc1,-5.259963620000001,-1.907791254,2.9436,2.6267,0.0042,0.0
56,73,CC1(C)c2ccccc2N(c2ccc3c(c2)Sc2ccccc2N3c2ccccn2)c2c1ccc1c2sc2ccccc21,-4.8825415020000005,-0.7741643300000001,3.6108,2.8829,0.0235,0.0
57,75,Cc1cc(C)c(B(c2ccc(-c3ccc4c(c3)c3cc(-n5c6ccccc6c6ccc7c8ccccc8oc7c65)ccc3n4-c3ccc4c(c3)-c3ccccc3S4(=O)=O)cc2)c2c(C)cc(C)cc2C)c(C)c1,-5.310032596,-2.09119609,2.8817,2.7255,0.0368,0.0
58,76,CC=Cc1cc(N(C)C)c(C(C)C)cc1/N=N/c1c(C(C)C)cc(C(C)(C)C)cc1-n1c2ccc(C(C)(C)C)cc2c2ccc3c4cc(C(C)C)ccc4n(-c4cccc(-n5c6ccccc6c6ccc(Cc7ccccc7)cc65)c4C#N)c3c21,-5.164451606,-2.1396323820000003,2.3693,1.6986,0.0056,0.0
59,77,CC1=CN(c2ccc3c(c2)C2C(=NCN2c2ccc(-c4cnc(C#N)nc4)cc2)c2ccccc2-3)c2ccccc2C1(C)C,-4.959821878,-2.056637612,2.5723,2.3826,0.0023,0.0
60,78,COc1ccc(C2=C(c3ccc(N4c5ccccc5C(C)(C)C5C=CC=CC54)cc3)C(=O)N(c3ccc(P(=S)(c4ccccc4)c4ccccc4)cc3)C2=O)cc1,-5.24907906,-2.754610022,2.0664,1.8983,0.0046,0.0
61,79,CC1(C)c2cc(C#N)ccc2-c2ccc(-n3ccc4cc(-c5ccc6c(c5)c5cc(Cc7ccccc7)ccc5n6-c5ccc6c(ccn6-c6cnc(-c7cc8c(cc7P(=O)(c7ccccc7)c7ccccc7)oc7c(P(=O)(c9ccccc9)c9ccccc9)cccc78)c(-c7cccc(C#N)c7)n6)c5)ccc43)cc21,-5.021319642,-1.917315244,2.8345,2.7925,0.0008,0.0
62,80,CCCCn1c2ccccc2c2ccc3c4ccccc4n(-c4ccc(C5(c6nc(-c7ccc(C8(c9ccccc9)c9ccccc9-c9ccccc98)cc7)nc(-c7ccccc7C)n6)c6ccccc6-c6ccccc65)cc4)c3c21,-4.93070568,-1.907247026,2.7079,2.7061,0.0004,0.0
63,81,CC1(C)c2ccccc2N(c2ccc3c(c2)c2ccccc2c2nc4ccccc4nc32)c2ccccc21,-4.889072238,-2.3480717060000003,2.1334,2.1301,0.0,0.0
64,82,CCc1ccc2c(c1)c1cc(-n3c4ccccc4c4cc5sc6ccc(-n7c8ccccc8c8ccc9c(c87)-c7ccccc7C97c8ccccc8-c8ccccc87)cc6c5cc43)cc3c4cc(-c5nncnc5-c5ccc(-c6ccccc6)nc5)ccc4n2c13,-5.150573792,-2.309431518,2.6124,2.3114,0.0019,0.0
65,83,N#Cc1ccccc1N1C(=O)C(c2ccc3c(c2)c2ccccc2n3-c2ccccc2)=C(c2ccc3c(c2)c2ccccc2n3-c2ccc3c(c2)P(=O)(c2ccccc2)c2ccccc2-3)C1=O,-5.259691506,-2.45718942,2.3232,1.7559,0.2437,0.0
66,88,N#Cc1cc2nc3c4ccc(-c5ccccc5)cc4c4ccccc4c3nc2c(-n2c3ccccc3c3oc4ccccc4c32)c1C#N,-5.327447892,-3.21774805,1.5898,1.5202,0.0136,0.0
67,89,Cc1ccc2c(c1)c1cc(-c3ccc4c(c3)c3ccc(-c5cccnc5C#N)c(P(=O)(c5ccccc5)c5ccccc5)c3n4-c3ccccc3)ccc1n2-c1ccccc1,-5.120913366,-1.39594482,3.341,2.8215,0.0138,0.0
68,90,O=C1c2cccc3c(-c4ccc5c(c4)c4cc(-c6c7ccccc7cc7ccccc67)ccc4n5C4C=CC=CC4)ccc(c23)C(=O)N1c1ccc(P(=S)(c2ccccc2)c2ccccc2)cc1,-5.213976354000001,-2.358684152,2.5726,1.7617,0.0115,0.0
69,91,CC1=CN(c2ccc3c(c2)[Si](c2ccccc2)(c2ccccc2)c2ccccc2N3c2ccc3c(c2)S(=O)(=O)c2ccc(-c4cc(C)c(C)c(C)c4)cc2C3=O)c2ccccc2C1(C)C,-4.5170924,-2.745086032,1.4705,1.466,0.0046,0.0
70,92,Cc1cnc(-c2ccc3c(c2)c2cc(-n4c(C)c(C)c5cc(C(C)(C)C)ccc54)ccc2n3-c2ccccc2)nc1-c1ccc2ccccc2c1,-4.886623212,-1.558668992,3.0698,2.632,0.0017,0.0
71,93,CC1(C)c2ccccc2N(c2ccnc3c(N4c5ccccc5C5(c6ccccc6Sc6ccccc65)c5ccccc54)ccnc23)c2ccccc21,-5.031659974,-2.345078452,1.9765,1.9659,0.0,0.0
72,94,CCC1(C)c2ccccc2N(c2ccc3c(c2)c2cc(-c4cccc5c4nc4c6ccccc6c6ccccc6n54)ccc2n3-c2ccc3c(c2)S(=O)(=O)c2ccccc2C3=O)c2ccccc21,-4.889344352,-2.7573311620000003,1.8553,1.8548,0.0001,0.0
73,95,CCCCCCCCC1(CCCCCCCC)c2ccccc2-c2ccc(-c3nc(-c4cccnc4)c(-c4ccccc4)nc3N3c4ccccc4C(C)(C)c4ccc5c(oc6cc(-c7cc(-n8c9ccc(-c%10ccccc%10)cc9c9cc%10sc%11ccccc%11c%10cc98)ccc7C)ccc65)c43)cc21,-5.116559542,-1.4285985,3.3447,2.728,0.0744,0.0
74,96,Cc1cc(C)c(B(c2ccc(Oc3ccc(-n4c5ccccc5c5cc6c7ccccc7n7c8ccccc8c(c54)c67)c(C)c3)cc2)c2c(C)cc(C)c(-c3c(C#N)cncc3C#N)c2C)c(C)c1,-5.238738728,-2.300451756,2.7557,2.7557,0.0,0.0
75,97,O=S1(=O)c2ccccc2C2(c3ccccc3-c3ccc(N4c5ccccc5C5(c6ccccc64)c4ccccc4C4(c6ccccc6N(c6ccccc6)c6ccccc64)c4ccccc45)cc32)c2ccccc21,-5.006625486,-1.36465171,3.0856,2.9862,0.0,0.0
76,98,COc1ccc(C2(c3nc(-c4ccccc4)nc(-c4cc5ccccc5cc4-c4cccc5c4C4(c6ccccc6-5)c5ccccc5N(c5ccc(-c6nccnn6)cc5)c5ccccc54)n3)c3ccccc3-c3ccccc32)cc1,-4.902677938,-2.131468962,2.3745,2.2698,0.0078,0.0
