MolID,SMILES,HOMO,LUMO,S1,T1,Est
38,CCCCCCCCN1C(=O)/C(=C/c2ccc(-c3ccc(/C=C4\SC(=S)N(CCCCCCCC)C4=O)s3)s2)SC1=S,-5.710856518,-3.215571138,2.3403,1.3032,1.0371
39,C1=C(c2ccccc2)C=C(c2ccccn2)P2(=C1c1ccccc1)OCCO2,-4.940501784,-1.110769348,3.3773,2.5899,0.7873999999999999
40,c1ccc2c(c1)CCc1ccccc1N2c1ccc(-c2nc3ccccc3nc2-c2ccc(N3c4ccccc4CCc4ccccc43)cc2)cc1,-4.845806112,-1.481116502,2.9335,2.4507,0.4828000000000001
41,N#Cc1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)ccc1-n1c2ccc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)cc2c2cc3c4ccccc4n4c5ccccc5c(c21)c34,-5.027578264000001,-2.347255364,2.2906,2.2377,0.0529000000000001
42,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2nnc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)o2)cc1,-5.459151068,-1.900988404,3.0999,2.5762,0.5236999999999998
43,Cc1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)c(C)cc1-c1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1ccccc1N2c1ccccc1,-4.954923826,-1.679759722,2.9654,2.6611,0.3043
44,c1ccc(N(c2ccccc2)c2ccc(-c3cc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)n4nc5ccccc5c4n3)cc2)cc1,-4.8289350440000005,-1.6939096500000002,2.7384,2.0475,0.6909000000000001
45,CCCCCCCCCCOc1ccc(-c2cc(-c3ccc(/C=C(\C#N)c4ccccc4)s3)nc(-c3ccc(/C=C(\C#N)c4ccccc4)s3)c2)cc1,-5.548676574000001,-2.439229896,2.7395,1.6984,1.0411
46,CC1(C)c2ccccc2N(c2ccc(-c3nc(-c4ccccn4)n(-c4ccccc4)n3)cc2)c2ccccc21,-4.757096948,-1.576628516,2.8773,2.8757,0.0015999999999998
47,c1ccc2c(c1)Sc1ccccc1N2c1ccc2c(c1)C1(CC1)c1cc(N3c4ccccc4Sc4ccccc43)ccc1-2,-4.977509288,-1.365740166,3.0459,2.9704,0.0754999999999999
48,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-c4ccc(N5c6ccccc6[Si](c6ccccc6)(c6ccccc6)c6ccccc65)cc4)cc3)n2)cc1,-5.133702724,-1.997588874,2.7829,2.777,0.0059
49,O=P(c1ccccc1)(c1ccccc1)c1ccc(Oc2ccccc2)c(P(=O)(c2ccccc2)c2ccccc2)c1,-6.362841662,-0.967909498,4.7049,3.5409,1.164
50,c1ccc(-c2nc(-c3ccccc3)nc(-c3c4ccccc4c(-c4c5ccccc5c(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)c5ccccc45)c4ccccc34)n2)cc1,-5.242820438000001,-1.938540136,2.7669,1.6931,1.0738
51,O=C(c1ccncc1)c1ccc(-n2c3ccccc3c3cc(-n4c5ccccc5c5ccccc54)ccc32)cc1,-5.263501102,-2.335282348,2.6296,2.5281,0.1015000000000001
52,Fc1ccc2c(c1)-c1ccccc1-c1nc3c4cccc5ccc6cccc(c6c54)c3n1-2,-5.188669752,-1.586696734,3.1689,2.1729,0.996
53,N#CC(C#N)=C(c1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,-5.316019104,-2.2743288120000003,2.6659,1.9824,0.6835000000000002
