,ID,SMILES,HOMO,LUMO,S1,T1,f_S1,f_T1
101,101,Cc1cc(-c2ncno2)c(C)cc1-c1ccc(C2(c3ccc(-c4c5ccccc5cc5c6ccccc6n(C)c45)cc3)CCCCC2)cc1,-4.97696506,-1.678671266,3.0487,2.2795,0.0002,0.0
102,102,Cc1cc(C)c(-c2ccc(C#N)c(C#N)c2)c(C)c1C#Cc1ccc2c(c1)[SiH2:2]c1cccnc1-2,-5.750313048000001,-2.2743288120000003,3.0684,2.3603,0.0071,0.0
103,103,Cc1cc(C)c(-c2nc3nc4ncoc4cc3o2)c(C)c1C#Cc1cccc2c1CC=C2,-5.656433718000001,-1.7940476020000002,3.4618,2.5641,0.0328,0.0
104,104,N#Cc1cc(-c2ccc(C#Cc3nc4cc5ocnc5cc4o3)cc2)cc(C#N)c1C#N,-6.3465148220000005,-3.1810126600000004,2.9061,2.2096,0.844,0.0
105,105,c1cc(-c2ncsn2)cnn1,-6.395495342,-2.2661653920000004,3.1229,2.5243,0.0016,0.0
106,106,c1csc(CSCc2ccc(C3(c4ccc(-c5cccc6cncnc56)cc4)CCCCC3)cc2)c1,-5.8689547520000005,-1.836497386,3.5728,2.606,0.1671,0.0
107,107,BrC=CC#Cn1cnc2nc3ncn(C#CC=Cc4ccc5ccncc5c4)c3nc21,-5.864873042,-2.197864778,3.2676,2.0079,0.0115,0.0
108,108,Cc1cc(-c2cc(C)c(-c3cc(C=O)ccc3C=O)cc2C)c(C)cc1-c1ccc2c(n1)-c1ccccc1[SiH2:2]2,-6.058073982,-2.5410005320000004,3.1717,2.7555,0.0057,0.0
109,109,Cc1cc(-c2ccc3nccnc3c2)c(C)cc1-c1ccc(C2(c3ccc(-c4cc5ccccc5cc4N(C)C)cc3)CCCCC2)cc1,-5.259419392000001,-1.912417192,3.174,2.6753,0.0006,0.0
110,110,Cc1cc(-c2cc3ccccc3s2)c(C)cc1-c1cnc2ccncc2n1,-5.798477226,-2.3510649600000004,3.065,2.4897,0.207,0.0
111,111,O=Cc1ccccc1-c1ccc(COCc2nc3ccccc3c3ccccc23)cc1,-6.154674452,-1.544519064,3.5297,2.8426,0.0107,0.0
112,112,C(=Cc1cccc2c1cnc1ccccc12)COCc1ccc(-c2ccccn2)nc1,-6.042563484,-1.593771698,3.895,2.6665,0.0909,0.0
