MolID,SMILES
790,Cc1cc(-n2c3ccccc3c3ccccc32)cc(C)c1B1c2ccccc2B(c2c(C)cc(-n3c4ccccc4c4ccccc43)cc2C)c2ccccc21
81,Cc1nc(C)c(C#N)c(-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc2)c1C#N
369,C1=CCC(c2nc(-c3ccccc3)nc(-c3cccc(-c4ccc5c6ccccc6c6ccccc6c5c4)c3)n2)C=C1
913,N#Cc1ccc(-n2c(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)nc3c4ccccc4c4ccccc4c32)cc1
589,c1ccc(-c2cc(-c3ccc(N4c5ccccc5C(c5ccccc5)(c5ccccc5)c5ccccc54)cn3)nc(-c3ccccc3)n2)cc1
723,O=S1(=O)c2ccc(N3c4ccccc4C(c4ccccc4)(c4ccccc4)c4ccccc43)cc2-c2cc(N3c4ccccc4C(c4ccccc4)(c4ccccc4)c4ccccc43)ccc21
56,CC1(C)c2ccccc2N(c2ccc(-c3cnc(C#N)nc3)cc2)c2ccccc21
950,COc1ccc(-c2c3ccccc3c(-c3c4ccccc4c(-c4ccc(C#N)cc4)c4ccccc34)c3ccccc23)cc1
66,O=P(c1ccccc1)(c1ccccc1)c1ccc2c(c1)oc1cc(-c3ccc(C4(c5ccc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)cc5)c5ccccc5-c5ccccc54)cc3)ccc12
816,N#Cc1cccc(-n2c(-c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)nc3c4ccccc4c4ccccc4c32)c1
22,CCN(CC)c1ccc2cc(-c3ccc(-c4ccc5c(c4)c4cc(-c6ccc(-c7cc8ccc(N(CC)CC)cc8oc7=O)cc6)ccc4n5-c4ccc(C)cc4)cc3)c(=O)oc2c1
1094,CC1(C)c2ccccc2N(c2ccc(C(=C(C#N)C#N)c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21
328,N#Cc1nc2c3ccc(N(c4ccccc4)c4ccccc4)cc3c3cc(N(c4ccccc4)c4ccccc4)ccc3c2nc1C#N
297,c1ccc2c(c1)c1ccc3c4ccccc4c4c5ccccc5c5c6ccccc6c6c7ccccc7c2c2c1c3c4c5c62
121,O=C(c1ccc(C(=O)c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1
34,O=C(c1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccc2oc3ccccc3c2c1
482,c1ccc2c(c1)Oc1ccccc1N2c1ccc2c(c1)c1ccccc1n1c3ccccc3nc21
280,Cc1nn(-c2ccccc2)c2c1c(=O)oc1ccc(-c3cc(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3)cc12
571,CCCCCCCCCCCCCCCCSc1cc(-c2cc3sc4ccsc4c3s2)sc1-c1sc(-c2cc3sc4ccsc4c3s2)cc1SCCCCCCCCCCCCCCC
813,c1ccc(N(c2ccccc2)c2ccc(-c3ncc(-c4c5ccccc5c(-c5cnc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)nc5)c5nsnc45)cn3)cc2)cc1
645,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc4c(c3)S(=O)(=O)c3ccccc3S4(=O)=O)cc2)cc1
989,CC1(C)c2ccccc2N(c2ccc(C(=O)c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)cc2)c2ccccc21
672,Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1ccc(-c2ncccn2)cc1
107,C(=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1
559,CC1(C)c2ccccc2N(c2ccc(C(=O)c3ccncc3)cc2)c2ccccc21
379,N#Cc1cc(-n2c3ccccc3c3ccccc32)nc(-n2c3ccccc3c3ccccc32)n1
153,CC(C)c1cc(C(C)C)c(-c2ccc(-n3c4ccccc4n4c5ccccc5nc34)nc2)c(C(C)C)c1
23,Cc1ccc(C2=C(c3ccc(C)cc3)[Si]3(C(c4ccccc4)=C(c4ccccc4)C(c4ccccc4)=C3c3ccccc3)C(c3ccc(C)cc3)=C2c2ccc(C)cc2)cc1
